generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,4,0
3000,2,4,0
4000,1,3,0
5000,2,3,0
6000,2,3,0
7000,1,3,1
8000,1,2,1
9000,1,3,0
10000,2,3,1
11000,2,3,1
12000,3,4,1
13000,3,4,1
14000,2,3,1
15000,1,2,1
16000,3,4,1
17000,1,4,1
18000,2,3,1
19000,2,4,1
20000,2,4,1
21000,1,4,0
22000,2,3,1
23000,2,4,0
24000,1,4,0
25000,2,4,0
26000,1,3,1
27000,2,4,1
28000,3,4,0
29000,2,4,1
30000,1,3,1
31000,1,4,0
32000,2,3,1
33000,1,4,0
34000,3,4,1
35000,1,3,0
36000,1,3,1
37000,1,3,1
38000,3,4,1
39000,3,4,0
40000,1,2,1
41000,2,4,1
42000,2,3,1
43000,1,3,0
44000,2,3,1
45000,1,3,0
46000,1,4,0
47000,2,4,1
48000,1,3,1
49000,1,2,1
50000,2,4,0
51000,3,4,1
52000,2,4,1
53000,1,3,0
54000,1,3,0
55000,2,4,0
56000,1,3,0
57000,2,4,1
58000,1,4,1
59000,1,3,0
60000,3,4,1
61000,2,4,1
62000,1,3,1
63000,1,4,1
64000,2,3,1
65000,1,4,0
66000,1,4,0
67000,1,2,1
68000,2,3,0
69000,2,4,1
70000,1,3,1
71000,1,2,1
72000,3,4,1
73000,1,3,1
74000,1,4,1
75000,2,4,0
76000,1,3,1
77000,1,2,1
78000,1,2,0
79000,1,4,0
80000,1,4,0
81000,2,3,1
82000,3,4,1
83000,1,3,0
84000,1,2,0
85000,1,2,1
86000,2,4,1
87000,1,4,1
88000,2,4,1
89000,2,4,1
90000,3,4,1
91000,1,4,1
92000,1,3,1
93000,2,3,1
94000,1,4,1
95000,1,3,1
96000,1,2,1
97000,2,4,1
98000,1,4,0
99000,2,3,1
100000,1,4,1
101000,3,4,1
102000,1,3,1
103000,2,4,1
104000,1,3,0
105000,3,4,1
106000,2,4,1
107000,1,2,1
108000,2,3,1
109000,1,4,1
110000,2,4,1
111000,1,2,1
112000,2,3,1
113000,2,4,1
114000,1,2,1
115000,1,3,1
116000,3,4,1
117000,1,3,1
118000,1,4,1
119000,1,2,1
120000,1,2,1
121000,1,3,1
